"AMR_Strain","k_Value","Model_Formula","Spatial_k","Year_k"
"CR-Ab",5,"logit_R ~ s(TMP_scaled_lag, k = 5, bs = 'cr') + s(PREC_scaled_lag, k = 5, bs = 'cr') + s(HUM_scaled_lag, k = 5, bs = 'cr') + s(WET_scaled_lag, k = 5, bs = 'cr') + s(PLS_Comp1, k = 5, bs = 'cr') + s(PLS_Comp2, k = 5, bs = 'cr') + s(PLS_Comp3, k = 5, bs = 'cr') + s(PLS_Comp4, k = 5, bs = 'cr') + s(lat, lon, bs = 'sos', k = 10) + s(year, bs = 'cr', k = 5) + s(Region, bs = 're') + climate_zone",10,5
"CR-Ab",8,"logit_R ~ s(TMP_scaled_lag, k = 8, bs = 'cr') + s(PREC_scaled_lag, k = 8, bs = 'cr') + s(HUM_scaled_lag, k = 8, bs = 'cr') + s(WET_scaled_lag, k = 8, bs = 'cr') + s(PLS_Comp1, k = 8, bs = 'cr') + s(PLS_Comp2, k = 8, bs = 'cr') + s(PLS_Comp3, k = 8, bs = 'cr') + s(PLS_Comp4, k = 8, bs = 'cr') + s(lat, lon, bs = 'sos', k = 16) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",16,8
"CR-Ab",10,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(PLS_Comp4, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
"CR-Ab",12,"logit_R ~ s(TMP_scaled_lag, k = 12, bs = 'cr') + s(PREC_scaled_lag, k = 12, bs = 'cr') + s(HUM_scaled_lag, k = 12, bs = 'cr') + s(WET_scaled_lag, k = 12, bs = 'cr') + s(PLS_Comp1, k = 12, bs = 'cr') + s(PLS_Comp2, k = 12, bs = 'cr') + s(PLS_Comp3, k = 12, bs = 'cr') + s(PLS_Comp4, k = 12, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
"CR-Ec",4,"logit_R ~ s(TMP_scaled_lag, k = 4, bs = 'cr') + s(PREC_scaled_lag, k = 4, bs = 'cr') + s(HUM_scaled_lag, k = 4, bs = 'cr') + s(WET_scaled_lag, k = 4, bs = 'cr') + s(PLS_Comp1, k = 4, bs = 'cr') + s(PLS_Comp2, k = 4, bs = 'cr') + s(PLS_Comp3, k = 4, bs = 'cr') + s(lat, lon, bs = 'sos', k = 8) + s(year, bs = 'cr', k = 4) + s(Region, bs = 're') + climate_zone",8,4
"CR-Ec",5,"logit_R ~ s(TMP_scaled_lag, k = 5, bs = 'cr') + s(PREC_scaled_lag, k = 5, bs = 'cr') + s(HUM_scaled_lag, k = 5, bs = 'cr') + s(WET_scaled_lag, k = 5, bs = 'cr') + s(PLS_Comp1, k = 5, bs = 'cr') + s(PLS_Comp2, k = 5, bs = 'cr') + s(PLS_Comp3, k = 5, bs = 'cr') + s(lat, lon, bs = 'sos', k = 10) + s(year, bs = 'cr', k = 5) + s(Region, bs = 're') + climate_zone",10,5
"CR-Ec",8,"logit_R ~ s(TMP_scaled_lag, k = 8, bs = 'cr') + s(PREC_scaled_lag, k = 8, bs = 'cr') + s(HUM_scaled_lag, k = 8, bs = 'cr') + s(WET_scaled_lag, k = 8, bs = 'cr') + s(PLS_Comp1, k = 8, bs = 'cr') + s(PLS_Comp2, k = 8, bs = 'cr') + s(PLS_Comp3, k = 8, bs = 'cr') + s(lat, lon, bs = 'sos', k = 16) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",16,8
"CR-Ec",10,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
"CR-Ec",12,"logit_R ~ s(TMP_scaled_lag, k = 12, bs = 'cr') + s(PREC_scaled_lag, k = 12, bs = 'cr') + s(HUM_scaled_lag, k = 12, bs = 'cr') + s(WET_scaled_lag, k = 12, bs = 'cr') + s(PLS_Comp1, k = 12, bs = 'cr') + s(PLS_Comp2, k = 12, bs = 'cr') + s(PLS_Comp3, k = 12, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
"CR-Kp",4,"logit_R ~ s(TMP_scaled_lag, k = 4, bs = 'cr') + s(PREC_scaled_lag, k = 4, bs = 'cr') + s(HUM_scaled_lag, k = 4, bs = 'cr') + s(WET_scaled_lag, k = 4, bs = 'cr') + s(PLS_Comp1, k = 4, bs = 'cr') + s(PLS_Comp2, k = 4, bs = 'cr') + s(PLS_Comp3, k = 4, bs = 'cr') + s(lat, lon, bs = 'sos', k = 8) + s(year, bs = 'cr', k = 4) + s(Region, bs = 're') + climate_zone",8,4
"CR-Kp",5,"logit_R ~ s(TMP_scaled_lag, k = 5, bs = 'cr') + s(PREC_scaled_lag, k = 5, bs = 'cr') + s(HUM_scaled_lag, k = 5, bs = 'cr') + s(WET_scaled_lag, k = 5, bs = 'cr') + s(PLS_Comp1, k = 5, bs = 'cr') + s(PLS_Comp2, k = 5, bs = 'cr') + s(PLS_Comp3, k = 5, bs = 'cr') + s(lat, lon, bs = 'sos', k = 10) + s(year, bs = 'cr', k = 5) + s(Region, bs = 're') + climate_zone",10,5
"CR-Kp",8,"logit_R ~ s(TMP_scaled_lag, k = 8, bs = 'cr') + s(PREC_scaled_lag, k = 8, bs = 'cr') + s(HUM_scaled_lag, k = 8, bs = 'cr') + s(WET_scaled_lag, k = 8, bs = 'cr') + s(PLS_Comp1, k = 8, bs = 'cr') + s(PLS_Comp2, k = 8, bs = 'cr') + s(PLS_Comp3, k = 8, bs = 'cr') + s(lat, lon, bs = 'sos', k = 16) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",16,8
"CR-Kp",10,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
"CR-Kp",12,"logit_R ~ s(TMP_scaled_lag, k = 12, bs = 'cr') + s(PREC_scaled_lag, k = 12, bs = 'cr') + s(HUM_scaled_lag, k = 12, bs = 'cr') + s(WET_scaled_lag, k = 12, bs = 'cr') + s(PLS_Comp1, k = 12, bs = 'cr') + s(PLS_Comp2, k = 12, bs = 'cr') + s(PLS_Comp3, k = 12, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
"CR-Pa",4,"logit_R ~ s(TMP_scaled_lag, k = 4, bs = 'cr') + s(PREC_scaled_lag, k = 4, bs = 'cr') + s(HUM_scaled_lag, k = 4, bs = 'cr') + s(WET_scaled_lag, k = 4, bs = 'cr') + s(PLS_Comp1, k = 4, bs = 'cr') + s(PLS_Comp2, k = 4, bs = 'cr') + s(PLS_Comp3, k = 4, bs = 'cr') + s(PLS_Comp4, k = 4, bs = 'cr') + s(lat, lon, bs = 'sos', k = 8) + s(year, bs = 'cr', k = 4) + s(Region, bs = 're') + climate_zone",8,4
"CR-Pa",5,"logit_R ~ s(TMP_scaled_lag, k = 5, bs = 'cr') + s(PREC_scaled_lag, k = 5, bs = 'cr') + s(HUM_scaled_lag, k = 5, bs = 'cr') + s(WET_scaled_lag, k = 5, bs = 'cr') + s(PLS_Comp1, k = 5, bs = 'cr') + s(PLS_Comp2, k = 5, bs = 'cr') + s(PLS_Comp3, k = 5, bs = 'cr') + s(PLS_Comp4, k = 5, bs = 'cr') + s(lat, lon, bs = 'sos', k = 10) + s(year, bs = 'cr', k = 5) + s(Region, bs = 're') + climate_zone",10,5
"CR-Pa",8,"logit_R ~ s(TMP_scaled_lag, k = 8, bs = 'cr') + s(PREC_scaled_lag, k = 8, bs = 'cr') + s(HUM_scaled_lag, k = 8, bs = 'cr') + s(WET_scaled_lag, k = 8, bs = 'cr') + s(PLS_Comp1, k = 8, bs = 'cr') + s(PLS_Comp2, k = 8, bs = 'cr') + s(PLS_Comp3, k = 8, bs = 'cr') + s(PLS_Comp4, k = 8, bs = 'cr') + s(lat, lon, bs = 'sos', k = 16) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",16,8
"CR-Pa",10,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(PLS_Comp4, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
"CR-Pa",12,"logit_R ~ s(TMP_scaled_lag, k = 12, bs = 'cr') + s(PREC_scaled_lag, k = 12, bs = 'cr') + s(HUM_scaled_lag, k = 12, bs = 'cr') + s(WET_scaled_lag, k = 12, bs = 'cr') + s(PLS_Comp1, k = 12, bs = 'cr') + s(PLS_Comp2, k = 12, bs = 'cr') + s(PLS_Comp3, k = 12, bs = 'cr') + s(PLS_Comp4, k = 12, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
