"Model_Key","Model_Label","Bacteria","Display_Name","combination_id","TMP_lag","PREC_lag","HUM_lag","WET_lag","AIC","BIC","Dev_explained","GCV","CV_RMSE","Max_VIF","n_samples","n_countries","Model_Formula","AIC_diff","rank","is_best"
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",25,1,3,3,NA,955.680098982036,1188.46600197019,86.953816583716,532.644582237817,NA,1.64063562247558,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",11.6976437497575,11,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",19,1,1,3,NA,955.68039713962,1188.46708650515,86.9538174976316,532.644577400999,NA,1.05291341576741,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",11.6979419073415,12,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",22,1,2,3,NA,955.680433125385,1188.46719713815,86.9538174393289,532.644580886874,NA,1.00745200909523,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",11.6979778931058,13,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",17,2,3,2,NA,955.855065382281,1172.87145550059,86.8186046324163,534.288971022191,NA,1.06041955733627,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",11.8726101500019,14,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",7,1,3,1,NA,956.165295321986,1189.21902888457,86.9468826882278,532.668456000583,NA,1.08640663578515,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",12.1828400897075,15,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",8,2,3,1,NA,956.696194197323,1183.972242664,86.888624609102,533.88818857747,NA,1.02379341883908,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",12.7137389650446,16,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",23,2,2,3,NA,957.299154869466,1184.77525080177,86.8788529396602,533.959038831638,NA,1.02607590102054,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",13.3166996371868,17,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",26,2,3,3,NA,957.750837916336,1178.63403923089,86.8149485632309,534.498659601329,NA,1.63953458351193,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",13.7683826840575,18,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",20,2,1,3,NA,957.768027135944,1178.69123838599,86.8149570262244,534.498655233391,NA,1.04564277170459,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",13.7855719036648,19,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",2,2,1,1,NA,1203.49400221878,1436.97442670553,86.4554223818744,652.513270149695,NA,1.61230130305795,765,74,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",259.511546986505,20,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",5,2,2,1,NA,1203.49444836424,1436.97623969748,86.4554249142371,652.513239896118,NA,1.02763733316695,765,74,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",259.511993131963,21,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",4,1,2,1,NA,1203.68402376395,1443.57060447742,86.5008721422354,652.06946185407,NA,1.07212682739586,765,74,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",259.701568531671,22,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",10,1,1,2,NA,1203.70636154397,1442.69170984119,86.4936210681011,652.200232193424,NA,1.03150563634827,765,74,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",259.723906311687,23,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",13,1,2,2,NA,1203.70668713775,1442.69274340004,86.4936207074321,652.200256217659,NA,1.57923390227699,765,74,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",259.72423190547,24,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",14,2,2,2,NA,1204.53841361656,1437.26024786406,86.4311195379609,652.755071309695,NA,1.63291756754501,765,74,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",260.555958384282,25,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",11,2,1,2,NA,1204.5384488689,1437.26034767413,86.4311194062632,652.755073287165,NA,1.06118295452289,765,74,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",260.555993636621,26,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",1,1,1,1,NA,1403.81907611499,1638.86654983953,87.131414362596,754.274723239083,NA,1.64672520590977,847,82,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",459.83662088271,27,FALSE
"A","Model A (TMP, PREC, HUM)","3GCRKP","3GCR-Kp",26,2,3,3,NA,-138.680203487941,71.2887980167426,89.9856094514787,-11.5731323857327,0.446419874544552,1.51018505391163,545,62,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(PLS_Comp4, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",0,1,TRUE
"A","Model A (TMP, PREC, HUM)","3GCRKP","3GCR-Kp",17,2,3,2,NA,-138.662683235147,71.3442394307172,89.9856115512667,-11.5731580527576,NA,1.090412552213,545,62,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(PLS_Comp4, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",0.0175202527933891,2,FALSE
"A","Model A (TMP, PREC, HUM)","3GCRKP","3GCR-Kp",8,2,3,1,NA,-135.241766498335,80.71128108944,89.9735542781557,-11.7211151772898,NA,1.02697692663862,545,62,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(PLS_Comp4, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",3.43843698960566,3,FALSE
"A","Model A (TMP, PREC, HUM)","3GCRKP","3GCR-Kp",7,1,3,1,NA,-135.241501779492,80.7122666293303,89.9735555748878,-11.7210377292849,NA,1.12627462540846,545,62,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(PLS_Comp4, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",3.43870170844863,4,FALSE
