"Bacteria","Lag_Combination","combination_id","AIC","BIC","Deviance_Explained_pct","GCV","sample_size","temp_lag","prec_lag","hum_lag","wet_lag","is_original_optimal","Rank","Optimal","CV_RMSE","CV_RMSE_sd"
"3GCR-Ec","2-2-2-3","T2_P2_H2_W3",1062.33558425514,1276.25655884356,84.5921538988284,579.002536040548,691,2,2,2,3,FALSE,14,"No",NA,NA
"3GCR-Ec","2-2-1-3","T2_P2_H1_W3",1062.35936488162,1266.68506597697,84.4970395898196,579.54124307895,691,2,2,1,3,FALSE,15,"No",NA,NA
"3GCR-Ec","2-3-3-3","T2_P3_H3_W3",1062.82666871784,1276.40117462553,84.5777923506518,579.055927655953,691,2,3,3,3,FALSE,16,"No",NA,NA
"3GCR-Ec","2-3-2-3","T2_P3_H2_W3",1063.54427991115,1275.85088136591,84.5492787212225,579.285941391513,691,2,3,2,3,FALSE,17,"No",NA,NA
"3GCR-Ec","2-3-1-3","T2_P3_H1_W3",1064.37984673853,1267.46297246947,84.4393157563738,579.521107580264,691,2,3,1,3,FALSE,18,"No",NA,NA
"3GCR-Ec","3-2-3-2","T3_P2_H3_W2",1064.96617107272,1286.66929859873,84.6099613948388,582.305000380245,691,3,2,3,2,FALSE,19,"No",NA,NA
"3GCR-Ec","3-3-2-2","T3_P3_H2_W2",1065.12721485623,1281.242193998,84.5514128788283,581.073771017351,691,3,3,2,2,TRUE,20,"No",0.878788787531365,0.196365123743915
"3GCR-Ec","2-2-3-2","T2_P2_H3_W2",1065.12836129613,1288.59653323656,84.6236678143372,582.881786495662,691,2,2,3,2,FALSE,21,"No",NA,NA
"3GCR-Ec","3-3-2-1","T3_P3_H2_W1",1066.5572146314,1280.01096581187,84.4931121086041,580.935517330881,691,3,3,2,1,FALSE,22,"No",NA,NA
"3GCR-Ec","3-2-2-1","T3_P2_H2_W1",1066.70721604412,1277.72724810667,84.4656519910471,580.487810103832,691,3,2,2,1,FALSE,23,"No",NA,NA
"3GCR-Ec","3-2-1-1","T3_P2_H1_W1",1067.13395434471,1274.62589126864,84.4210397180388,581.704614321363,691,3,2,1,1,FALSE,24,"No",NA,NA
"3GCR-Ec","2-3-2-2","T2_P3_H2_W2",1067.241872821,1276.32892416731,84.4344499559559,582.076210953096,691,2,3,2,2,FALSE,25,"No",NA,NA
"3GCR-Ec","3-3-1-2","T3_P3_H1_W2",1069.51874561441,1272.49821407734,84.3221246557274,582.745621197654,691,3,3,1,2,FALSE,26,"No",NA,NA
"3GCR-Ec","3-2-2-2","T3_P2_H2_W2",1070.65764967023,1283.70915094917,84.3968172868724,582.150899888035,691,3,2,2,2,FALSE,27,"No",NA,NA
"3GCR-Ec","2-3-2-1","T2_P3_H2_W1",1071.49239191297,1283.23984756185,84.364958668336,582.793694787166,691,2,3,2,1,FALSE,28,"No",NA,NA
"3GCR-Ec","2-3-1-2","T2_P3_H1_W2",1072.43312088893,1274.90632186254,84.2507772606596,583.807184733872,691,2,3,1,2,FALSE,29,"No",NA,NA
"3GCR-Ec","3-3-1-1","T3_P3_H1_W1",1072.9157971731,1277.45669657564,84.2605423387335,582.054771623845,691,3,3,1,1,FALSE,30,"No",NA,NA
