"x_scaled","x_orig","y","lower_ci_99","upper_ci_99","lower_ci_95","upper_ci_95","lower_ci_90","upper_ci_90","effect_size","type","significance_level","sig_symbol","Bacteria","Climate_Variable","Lag_Years","Relationship_Type","Value","OR","Lower_CI","Upper_CI","Smooth_Parameter","label_short","x_value","or_value","Figure_Label","Model","priority_score"
3.87268022698867,40,0.465582577354167,0.112213655368816,1.92409789457353,0.157346363461648,1.37279063103405,0.187211383320799,1.15460044117546,0.534417422645833,"Trend Global minimum","Trend only","","3GCR-Ec","Temperature",3,"Threshold",40,0.465582577354167,0.157346363461648,1.37279063103405,0.299998310904544,"GMin","40","0.466","GMin (40°C)
OR = 0.466","Model A",NA
-0.384988590065553,10.2251876563803,1.14715008590013,1.04192196428388,1.26302328217151,1.06616958201292,1.23429147154234,1.07878685252493,1.21985253468609,0.147150085900127,"Global maximum","Highly significant","**","3GCR-Ec","Temperature",3,"Threshold",10.2251876563803,1.14715008590013,1.06616958201292,1.23429147154234,0.299998310904544,"GMax","10.225","1.147","GMax (10.225°C)
OR = 1.147**","Model A",NA
2.7974288582092,100,0.772340195867198,0.276829631666321,1.89212466240367,0.360882391971929,1.53752344925639,0.410842271034931,1.38083029822035,0.227659804132802,"Trend Global minimum","Trend only","","3GCR-Ec","Humidity",2,"Threshold",100,0.772340195867198,0.360882391971929,1.53752344925639,0.299994000718548,"GMin","100","0.772","GMin (100%)
OR = 0.772","Model A",NA
-4.35119021266045,30,1.6299384779592,0.362512858431644,7.20442515178001,0.519658886106512,5.05908880050844,0.624734614972738,4.22055690986979,0.629938477959203,"Trend Global maximum","Trend only","","3GCR-Ec","Humidity",2,"Threshold",30,1.6299384779592,0.519658886106512,5.05908880050844,0.299994000718548,"GMax","30","1.630","GMax (30%)
OR = 1.630","Model A",NA
-1.31645534437634,59.7164303586322,0.85026737463285,0.646191796871792,1.11862199764044,0.690032166070755,1.04761923704475,0.713585660045509,1.01306665336725,0.14973262536715,"Trend Minimum","Trend only","","3GCR-Ec","Humidity",2,"Threshold",59.7164303586322,0.85026737463285,0.690032166070755,1.04761923704475,0.299994000718548,"Min"," 59.716","0.850","Min ( 59.716%)
OR = 0.850","Model A",NA
1.2890046505945,85.2293577981651,1.1061571666642,0.932137757792844,1.31019028642314,0.971221702657569,1.25846935725188,0.991804552935964,1.23275024876354,0.106157166664199,"Trend Maximum","Trend only","","3GCR-Ec","Humidity",2,"Threshold",85.2293577981651,1.1061571666642,0.971221702657569,1.25846935725188,0.299994000718548,"Max"," 85.229","1.106","Max ( 85.229%)
OR = 1.106","Model A",NA
4.78767697533524,3200,1.20773512769363,0.283150655826404,5.11400419279938,0.400449915553009,3.62556314547023,0.478200498109756,3.03989160177147,0.207735127693626,"Trend Global maximum","Trend only","","3GCR-Ec","Precipitation",2,"Threshold",3200,1.20773512769363,0.400449915553009,3.62556314547023,0.299998808262573,"GMax","3200","1.208","GMax (3200mm)
OR = 1.208","Model A",NA
1.91430982653429,1820.18348623853,0.733340007584578,0.593637624126679,0.905127664911576,0.624448957472924,0.860785402533637,0.64080870600146,0.838935111009404,0.266659992415422,"Global minimum","Highly significant","**","3GCR-Ec","Precipitation",2,"Threshold",1820.18348623853,0.733340007584578,0.624448957472924,0.860785402533637,0.299998808262573,"GMin","1820.183","0.733","GMin (1820.183mm)
OR = 0.733**","Model A",NA
-0.458858012030511,680.567139282736,1.10098102105938,1.01889592859496,1.18982023306024,1.03793892060947,1.16793236295768,1.04781674452549,1.15689872014825,0.100981021059382,"Maximum","Highly significant","**","3GCR-Ec","Precipitation",2,"Threshold",680.567139282736,1.10098102105938,1.03793892060947,1.16793236295768,0.299998808262573,"Max"," 680.567","1.101","Max ( 680.567mm)
OR = 1.101**","Model A",NA
-3.29289116391367,-10,0.652957377823432,0.434350220072092,0.978418081326288,0.478961868840653,0.88849069192861,0.503482457341807,0.845687607402672,0.347042622176568,"Global minimum","Highly significant","**","3GCR-Kp","Temperature",2,"Threshold",-10,0.652957377823432,0.478961868840653,0.88849069192861,0.299999286364793,"GMin","-10","0.653","GMin (-10°C)
OR = 0.653**","Model A",NA
-0.147846871343818,12.4353628023353,1.05527728719829,1.01591818249126,1.09605060226919,1.02520356483469,1.08616972912752,1.02998233397738,1.08114894728984,0.0552772871982945,"Global maximum","Highly significant","**","3GCR-Kp","Temperature",2,"Threshold",12.4353628023353,1.05527728719829,1.02520356483469,1.08616972912752,0.299999286364793,"GMax"," 12.435","1.055","GMax ( 12.435°C)
OR = 1.055**","Model A",NA
2.7107528666983,32.8273561301084,0.865831495109568,0.78438516861201,0.95566846008648,0.803140544917288,0.933378451377956,0.812902877500866,0.922180249847989,0.134168504890432,"Minimum","Highly significant","**","3GCR-Kp","Temperature",2,"Threshold",32.8273561301084,0.865831495109568,0.803140544917288,0.933378451377956,0.299999286364793,"Min"," 32.827","0.866","Min ( 32.827°C)
OR = 0.866**","Model A",NA
-1.88405162021602,0.0500417014178449,0.854145871999782,0.734143698219891,0.993629407081082,0.761215898316216,0.95834625348753,0.77544174894162,0.940786645776907,0.145854128000218,"Rapid change","Highly significant","**","3GCR-Kp","Temperature",2,"Threshold",0.0500417014178449,0.854145871999782,0.761215898316216,0.95834625348753,0.299999286364793,"Rap","  0.050","0.854","Rap (  0.050°C)
OR = 0.854**","Model A",NA
-4.05977382367238,30,1.0890872491393,0.723193020714563,1.63902700383307,0.797620776873065,1.48649475227367,0.838582493004068,1.41404368260175,0.0890872491392964,"Trend Global maximum","Trend only","","3GCR-Kp","Humidity",3,"Threshold",30,1.0890872491393,0.797620776873065,1.48649475227367,0.2,"GMax","30","1.089","GMax (30%)
OR = 1.089","Model A",NA
-1.56946656876159,55.6880733944954,0.827827279372423,0.724918104789789,0.94532332070599,0.74830035178055,0.915793681269078,0.760546706229565,0.901051136988759,0.172172720627577,"Global minimum","Highly significant","**","3GCR-Kp","Humidity",3,"Threshold",55.6880733944954,0.827827279372423,0.74830035178055,0.915793681269078,0.2,"GMin","55.688","0.828","GMin (55.688%)
OR = 0.828**","Model A",NA
-0.352611887384724,68.2402001668057,0.942980747247954,0.883935631591965,1.00596061022396,0.897710456695512,0.990528628830274,0.904836976884138,0.982728761518991,0.0570192527520461,"Rapid change","Significant","*","3GCR-Kp","Humidity",3,"Threshold",68.2402001668057,0.942980747247954,0.897710456695512,0.990528628830274,0.2,"Rap","68.240","0.943","Rap (68.240%)
OR = 0.943*","Model A",NA
0.824624269482197,80.3836530442035,1.06313027296694,1.00454322092099,1.12519114443925,1.01824786888978,1.11002350433159,1.02532916198533,1.10234774160582,0.0631302729669374,"Maximum","Highly significant","**","3GCR-Kp","Humidity",3,"Threshold",80.3836530442035,1.06313027296694,1.01824786888978,1.11002350433159,0.2,"Max","80.384","1.063","Max (80.384%)
OR = 1.063**","Model A",NA
4.55154951676948,3200,3.34482959557564,1.46525450416315,7.62527548627727,1.78514899546847,6.26232548108154,1.97478844740738,5.66224561324039,2.34482959557564,"Global maximum","Highly significant","**","3GCR-Kp","Precipitation",3,"Threshold",3200,3.34482959557564,1.78514899546847,6.26232548108154,0.18,"GMax","3200","3.345","GMax (3200mm)
OR = 3.345**","Model A",NA
1.56425596149292,1694.74562135113,0.783339528976814,0.72133311993955,0.850662231952409,0.735700007315965,0.834056050735303,0.74315667075213,0.825689620961253,0.216660471023186,"Global minimum","Highly significant","**","3GCR-Kp","Precipitation",3,"Threshold",1694.74562135113,0.783339528976814,0.735700007315965,0.834056050735303,0.18,"GMin","1694.746","0.783","GMin (1694.746mm)
OR = 0.783**","Model A",NA
