"Bacteria","Variable","S1","S2","Layer","N_overlap","r","rho","Bias","RMSE","Same_Source"
"CR-Ec","Precipitation (mm)","Primary","ERA5","Raw",868,0.916824215130938,0.948094692706319,106.145539746544,251.209907137591,FALSE
"CR-Ec","Precipitation (mm)","Primary","MERRA2","Raw",868,0.922328008648228,0.900985799609822,-20.8793847926267,192.013263097381,FALSE
"CR-Ec","Precipitation (mm)","ERA5","MERRA2","Raw",868,0.897047556373752,0.929123278591531,-127.02492453917,282.829531548179,FALSE
"CR-Ec","Wet Days (d)","Primary","ERA5","Raw",868,0.878424166778683,0.87453469107257,80.116126843318,85.7659469757406,FALSE
"CR-Ec","Wet Days (d)","Primary","MERRA2","Raw",868,0.897139121659321,0.889859669880566,84.3759021889401,90.1953742659227,FALSE
"CR-Ec","Wet Days (d)","ERA5","MERRA2","Raw",868,0.944226334613164,0.937325218210997,4.25977534562212,23.1239623830925,FALSE
"CR-Ec","Relative Humidity (%)","Primary","ERA5","Raw",868,1,1,0,0,TRUE
"CR-Ec","Relative Humidity (%)","Primary","MERRA2","Raw",868,0.95813794451309,0.932766094825511,3.90768536866359,5.26948910499175,FALSE
"CR-Ec","Relative Humidity (%)","ERA5","MERRA2","Raw",868,0.95813794451309,0.932766094825511,3.90768536866359,5.26948910499175,FALSE
"CR-Kp","Temperature (°C)","Primary","ERA5","Raw",772,0.983419551765129,0.982664299032635,-0.0797586787564767,1.27975544856108,FALSE
"CR-Kp","Temperature (°C)","Primary","MERRA2","Raw",772,0.979215781341777,0.979313723836884,-0.486964766839378,1.5391155891154,FALSE
"CR-Kp","Temperature (°C)","ERA5","MERRA2","Raw",772,0.997807003147082,0.995674173248893,-0.407206088082902,0.678272361718347,FALSE
"CR-Kp","Precipitation (mm)","Primary","ERA5","Raw",772,0.927866700985784,0.94527537105195,98.2391799222798,236.996281707535,FALSE
"CR-Kp","Precipitation (mm)","Primary","MERRA2","Raw",772,0.932108502294201,0.903854697746909,-27.0866341968912,185.802629775753,FALSE
"CR-Kp","Precipitation (mm)","ERA5","MERRA2","Raw",772,0.920002526670778,0.933284062184929,-125.325814119171,262.538832818007,FALSE
"CR-Kp","Wet Days (d)","Primary","ERA5","Raw",772,0.883966461477383,0.879483815406933,79.9239314766839,85.7666473944174,FALSE
"CR-Kp","Wet Days (d)","Primary","MERRA2","Raw",772,0.897440472076984,0.887515826921354,83.5889182642487,89.6321945802714,FALSE
"CR-Kp","Wet Days (d)","ERA5","MERRA2","Raw",772,0.950695336041465,0.942765467655696,3.66498678756477,21.9831240064169,FALSE
"CR-Kp","Relative Humidity (%)","Primary","ERA5","Raw",772,1,1,0,0,TRUE
"CR-Kp","Relative Humidity (%)","Primary","MERRA2","Raw",772,0.964277716485423,0.940199489220194,3.83443691709845,5.08561358542561,FALSE
"CR-Kp","Relative Humidity (%)","ERA5","MERRA2","Raw",772,0.964277716485423,0.940199489220194,3.83443691709845,5.08561358542561,FALSE
"CR-Pa","Temperature (°C)","Primary","ERA5","Raw",595,0.970277302796872,0.975693312286061,-0.020176974789916,1.42245547934052,FALSE
"CR-Pa","Temperature (°C)","Primary","MERRA2","Raw",595,0.964073353820679,0.971375565256658,-0.431800840336134,1.68419344933209,FALSE
"CR-Pa","Temperature (°C)","ERA5","MERRA2","Raw",595,0.997793386551895,0.996223984707033,-0.411623865546218,0.663036379168474,FALSE
"CR-Pa","Precipitation (mm)","Primary","ERA5","Raw",595,0.905977641087846,0.936809579629474,118.464410420168,237.225766620988,FALSE
"CR-Pa","Precipitation (mm)","Primary","MERRA2","Raw",595,0.885861879471086,0.873205157874217,-18.7574884033613,165.529226018293,FALSE
"CR-Pa","Precipitation (mm)","ERA5","MERRA2","Raw",595,0.90863806763978,0.909568244625489,-137.221898823529,259.537569709665,FALSE
"CR-Pa","Wet Days (d)","Primary","ERA5","Raw",595,0.868690692683192,0.884593855025876,78.9844813445378,82.7751606318045,FALSE
"CR-Pa","Wet Days (d)","Primary","MERRA2","Raw",595,0.869133555806351,0.870886825983815,84.9047521008403,89.5149283872814,FALSE
"CR-Pa","Wet Days (d)","ERA5","MERRA2","Raw",595,0.929257799427921,0.935377348010589,5.92027075630252,22.0003298117918,FALSE
"CR-Pa","Relative Humidity (%)","Primary","ERA5","Raw",595,1,1,0,0,TRUE
"CR-Pa","Relative Humidity (%)","Primary","MERRA2","Raw",595,0.946861800766413,0.930983819468598,4.17825201680672,5.14043804085505,FALSE
"CR-Pa","Relative Humidity (%)","ERA5","MERRA2","Raw",595,0.946861800766413,0.930983819468598,4.17825201680672,5.14043804085505,FALSE
