"Bacteria","Variable","S1","S2","Mode","Curve_r","MaxDiff","MeanDiff","DirAgree","Shape1","Shape2","ShapeAgree","SameSrc"
"CR-Ab","Wet Days (d)","Primary","ERA5","full",0.872666068527927,0.134758651738386,0.0815133878989125,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"CR-Ab","Wet Days (d)","Primary","MERRA2","full",0.567058429767433,0.302466837187099,0.0862265463302402,TRUE,"Inv-U","Complex",FALSE,FALSE
"CR-Ab","Wet Days (d)","ERA5","MERRA2","full",0.764920602867985,0.167708185448712,0.0388862594331861,TRUE,"Inv-U","Complex",FALSE,FALSE
"CR-Ec","Temperature (°C)","Primary","ERA5","full",0.00195628580858971,0.183732792437673,0.0402132580444765,FALSE,"J/S","Inv-U",FALSE,FALSE
"CR-Ec","Temperature (°C)","Primary","MERRA2","full",-0.162843584782641,0.26145730293545,0.0516647990837241,FALSE,"J/S","Inv-U",FALSE,FALSE
"CR-Ec","Temperature (°C)","ERA5","MERRA2","full",0.972271650423877,0.0777245104977773,0.0225791396986502,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"CR-Ec","Precipitation (mm)","Primary","ERA5","full",0.922906749433252,0.0210490647343264,0.00701291684107749,TRUE,"Mono+","Inv-U",FALSE,FALSE
"CR-Ec","Precipitation (mm)","Primary","MERRA2","full",0.999909076917375,0.0457585146442416,0.0188221568072422,TRUE,"Mono+","Mono+",TRUE,FALSE
"CR-Ec","Precipitation (mm)","ERA5","MERRA2","full",0.927870377713597,0.0337361378407209,0.0216124149720585,TRUE,"Inv-U","Mono+",FALSE,FALSE
"CR-Ec","Relative Humidity (%)","Primary","ERA5","full",0.966458157362438,5.89583850452158e-06,1.86592162644439e-06,TRUE,"U","U",TRUE,TRUE
"CR-Ec","Relative Humidity (%)","Primary","MERRA2","full",-0.232790670224653,8.27249850132716e-06,2.51426479159322e-06,TRUE,"U","Inv-U",FALSE,FALSE
"CR-Ec","Relative Humidity (%)","ERA5","MERRA2","full",0.00884559803683256,2.37665999680559e-06,7.72144988334111e-07,TRUE,"U","Inv-U",FALSE,FALSE
"CR-Ec","Wet Days (d)","Primary","ERA5","full",0.647716864809228,0.12531522237926,0.0407168239494997,FALSE,"J/S","Inv-U",FALSE,FALSE
"CR-Ec","Wet Days (d)","Primary","MERRA2","full",-0.135332939948414,0.139631270399863,0.0462690661812006,FALSE,"J/S","J/S",TRUE,FALSE
"CR-Ec","Wet Days (d)","ERA5","MERRA2","full",0.609479357974678,0.0202303813125098,0.0109927328299433,TRUE,"Inv-U","J/S",FALSE,FALSE
