"NAME","Cluster","Optimal_K","Selection_Method","Region","Climate_Factor"
"Austria",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Belarus",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Belgium",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Bosnia and Herz.",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Bulgaria",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Croatia",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Czechia",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Denmark",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Estonia",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Finland",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"France",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Georgia",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Germany",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Iceland",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Ireland",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Italy",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Latvia",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Lithuania",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Luxembourg",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Netherlands",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Poland",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Romania",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Russia",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Serbia",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Slovakia",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Slovenia",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Sweden",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Switzerland",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"United Kingdom",1,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Venezuela",1,3,"Gap statistic (restricted maxSE)","Latin America and the Caribbean","Relative Humidity"
"Malawi",1,3,"Gap statistic (restricted maxSE)","Sub-Saharan Africa","Relative Humidity"
"South Korea",2,3,"Gap statistic (restricted maxSE)","East Asia and Pacific","Relative Humidity"
"Cyprus",2,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Greece",2,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Hungary",2,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Kosovo",2,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"North Macedonia",2,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Norway",2,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Portugal",2,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Spain",2,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Turkey",2,3,"Gap statistic (restricted maxSE)","Europe and Central Asia","Relative Humidity"
"Lebanon",2,3,"Gap statistic (restricted maxSE)","Middle East and North Africa","Relative Humidity"
"Malta",2,3,"Gap statistic (restricted maxSE)","Middle East and North Africa","Relative Humidity"
"Canada",2,3,"Gap statistic (restricted maxSE)","North America","Relative Humidity"
"United States of America",2,3,"Gap statistic (restricted maxSE)","North America","Relative Humidity"
"India",2,3,"Gap statistic (restricted maxSE)","South Asia","Relative Humidity"
"Ghana",2,3,"Gap statistic (restricted maxSE)","Sub-Saharan Africa","Relative Humidity"
"Australia",3,3,"Gap statistic (restricted maxSE)","East Asia and Pacific","Relative Humidity"
"China",3,3,"Gap statistic (restricted maxSE)","East Asia and Pacific","Relative Humidity"
"Argentina",3,3,"Gap statistic (restricted maxSE)","Latin America and the Caribbean","Relative Humidity"
"Mexico",3,3,"Gap statistic (restricted maxSE)","Latin America and the Caribbean","Relative Humidity"
"Bahrain",3,3,"Gap statistic (restricted maxSE)","Middle East and North Africa","Relative Humidity"
"Egypt",3,3,"Gap statistic (restricted maxSE)","Middle East and North Africa","Relative Humidity"
"Oman",3,3,"Gap statistic (restricted maxSE)","Middle East and North Africa","Relative Humidity"
"Saudi Arabia",3,3,"Gap statistic (restricted maxSE)","Middle East and North Africa","Relative Humidity"
"Tunisia",3,3,"Gap statistic (restricted maxSE)","Middle East and North Africa","Relative Humidity"
"United Arab Emirates",3,3,"Gap statistic (restricted maxSE)","Middle East and North Africa","Relative Humidity"
"Pakistan",3,3,"Gap statistic (restricted maxSE)","South Asia","Relative Humidity"
"South Africa",3,3,"Gap statistic (restricted maxSE)","Sub-Saharan Africa","Relative Humidity"
"Malaysia",1,8,"Gap statistic (restricted maxSE)","East Asia and Pacific","Temperature"
"Philippines",1,8,"Gap statistic (restricted maxSE)","East Asia and Pacific","Temperature"
"Thailand",1,8,"Gap statistic (restricted maxSE)","East Asia and Pacific","Temperature"
"Cyprus",1,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Greece",1,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Italy",1,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Portugal",1,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Spain",1,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Argentina",1,8,"Gap statistic (restricted maxSE)","Latin America and the Caribbean","Temperature"
"Oman",1,8,"Gap statistic (restricted maxSE)","Middle East and North Africa","Temperature"
"South Africa",1,8,"Gap statistic (restricted maxSE)","Sub-Saharan Africa","Temperature"
"Japan",2,8,"Gap statistic (restricted maxSE)","East Asia and Pacific","Temperature"
"South Korea",2,8,"Gap statistic (restricted maxSE)","East Asia and Pacific","Temperature"
"Belgium",2,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Bosnia and Herz.",2,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Bulgaria",2,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Croatia",2,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"France",2,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Hungary",2,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"North Macedonia",2,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Serbia",2,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Turkey",2,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Venezuela",2,8,"Gap statistic (restricted maxSE)","Latin America and the Caribbean","Temperature"
"Saudi Arabia",2,8,"Gap statistic (restricted maxSE)","Middle East and North Africa","Temperature"
"New Zealand",3,8,"Gap statistic (restricted maxSE)","East Asia and Pacific","Temperature"
"Taiwan",3,8,"Gap statistic (restricted maxSE)","East Asia and Pacific","Temperature"
"Czechia",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Denmark",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Estonia",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Georgia",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Germany",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Ireland",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Kosovo",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Luxembourg",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Netherlands",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Poland",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Romania",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Slovakia",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Slovenia",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"United Kingdom",3,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"United States of America",3,8,"Gap statistic (restricted maxSE)","North America","Temperature"
