"Bacteria","scenario","period","gcm_mean_change_pct","gcm_min_change_pct","gcm_max_change_pct","gcm_sd_change_pct","gcm_range_width_pct","n_climate_models","Scenario_Label","Scenario_Full_Label"
"CR-Ab","ssp245","2090s",10.7193988462339,4.06566689083878,21.4083928931133,7.49947333156645,17.3427260022745,4,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Ab","ssp370","2030s",13.3611745973297,2.17327705733381,31.9258626715802,13.5956491921226,29.7525856142464,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Ab","ssp370","2050s",12.1297904166812,6.64426896386423,23.7159506991597,8.01514702268833,17.0716817352955,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Ab","ssp370","2090s",10.0716077754409,9.27469822180232,10.8811169733449,0.68865892577703,1.60641875154254,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Ab","ssp585","2030s",12.2910453635321,2.88679790492694,38.1352270824728,17.2463594134934,35.2484291775459,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Ab","ssp585","2050s",13.2739706485335,7.19833032549927,28.6300467469909,10.2622716243148,21.4317164214916,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Ab","ssp585","2090s",13.9932925452773,12.0560964199818,15.3394920569803,1.60547050905266,3.28339563699849,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Ec","ssp126","2030s",-4.62268281017271,-6.17386893798096,-3.41884419519484,1.15942967576357,2.75502474278611,4,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Ec","ssp126","2050s",-3.52700334270507,-8.40464864391002,-0.419285121102954,3.4197840899584,7.98536352280707,4,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Ec","ssp126","2090s",-4.05062440141666,-5.06704317849242,-2.75839101978672,1.00703131180758,2.3086521587057,4,"SSP1-2.6","SSP1-2.6 (Sustainability)"
