"Bacteria","scenario","climate_zone","period","relative_change_pct","lower_95ci_pct","upper_95ci_pct","n_years","n_draws","Scenario_Label"
"3GCR-Kp","ssp245","Temperate Zone","2030s",26.3224388246695,18.4926068000836,35.564417151627,10,1000,"SSP2-4.5"
"3GCR-Kp","ssp245","Polar Zone","2030s",33.968688754533,28.2434346096889,39.8200295852546,10,1000,"SSP2-4.5"
"3GCR-Kp","ssp370","Tropical Zone","2030s",34.1565456464839,27.067332075741,41.3658513211945,10,1000,"SSP3-7.0"
"3GCR-Kp","ssp370","Temperate Zone","2030s",27.340019525708,20.1368760829395,36.7895320712038,10,1000,"SSP3-7.0"
"3GCR-Kp","ssp370","Polar Zone","2030s",34.4141234947017,27.9103774305982,40.8726459907379,10,1000,"SSP3-7.0"
"3GCR-Kp","ssp585","Tropical Zone","2030s",35.6318866584519,28.4227202326328,42.6206446162432,10,1000,"SSP5-8.5"
"3GCR-Kp","ssp585","Temperate Zone","2030s",28.4142708750148,21.0589241859335,37.0806448150353,10,1000,"SSP5-8.5"
"3GCR-Kp","ssp585","Polar Zone","2030s",35.7048948424819,29.2183555034763,41.6470751741388,10,1000,"SSP5-8.5"
"3GCR-Kp","ssp126","Tropical Zone","2050s",37.4929362126515,30.5460786886201,44.2977396797516,10,1000,"SSP1-2.6"
"3GCR-Kp","ssp126","Temperate Zone","2050s",29.2481732213264,21.6423495348252,39.3105276284364,10,1000,"SSP1-2.6"
"3GCR-Kp","ssp126","Polar Zone","2050s",37.8270232417944,30.4852567756006,44.5554434146074,10,1000,"SSP1-2.6"
"3GCR-Kp","ssp245","Tropical Zone","2050s",41.8439021334704,35.1613911179668,48.3649010674411,10,1000,"SSP2-4.5"
"3GCR-Kp","ssp245","Temperate Zone","2050s",33.5206613299081,24.9881291550484,43.9685978055104,10,1000,"SSP2-4.5"
"3GCR-Kp","ssp245","Polar Zone","2050s",42.5457258051314,35.66610670165,49.018975370014,10,1000,"SSP2-4.5"
"3GCR-Kp","ssp370","Tropical Zone","2050s",43.052347435411,35.9658163004114,50.1063003958878,10,1000,"SSP3-7.0"
"3GCR-Kp","ssp370","Temperate Zone","2050s",35.6102090928739,26.8229050329057,45.8572004194707,10,1000,"SSP3-7.0"
"3GCR-Kp","ssp370","Polar Zone","2050s",45.1039449984659,37.8880813291174,52.4644181071561,10,1000,"SSP3-7.0"
"3GCR-Kp","ssp585","Tropical Zone","2050s",46.4289489873996,38.7677021710518,53.823999631156,10,1000,"SSP5-8.5"
"3GCR-Kp","ssp585","Temperate Zone","2050s",38.4102644382806,29.2880018977732,48.8315241333217,10,1000,"SSP5-8.5"
"3GCR-Kp","ssp585","Polar Zone","2050s",48.0495689794445,41.1604715324532,55.4935950316171,10,1000,"SSP5-8.5"
"3GCR-Kp","ssp126","Tropical Zone","2090s",36.6567857726573,30.2518911261339,43.2218793550252,10,1000,"SSP1-2.6"
"3GCR-Kp","ssp126","Temperate Zone","2090s",27.9134883106456,20.3299011081889,37.2063180501338,10,1000,"SSP1-2.6"
"3GCR-Kp","ssp126","Polar Zone","2090s",36.5900745671333,28.9397442555678,44.1957273150685,10,1000,"SSP1-2.6"
"3GCR-Kp","ssp245","Tropical Zone","2090s",46.7851126956769,40.0818295323691,53.687377842917,10,1000,"SSP2-4.5"
"3GCR-Kp","ssp245","Temperate Zone","2090s",37.7550071934315,27.2095196098776,49.6497733695234,10,1000,"SSP2-4.5"
"3GCR-Kp","ssp245","Polar Zone","2090s",48.2210338232606,40.6565133169106,56.4764298590344,10,1000,"SSP2-4.5"
"3GCR-Kp","ssp370","Tropical Zone","2090s",51.2269262771251,44.4857801872744,56.529308569224,10,1000,"SSP3-7.0"
"3GCR-Kp","ssp370","Temperate Zone","2090s",42.9542998707245,32.3239296605211,54.9471288667091,10,1000,"SSP3-7.0"
"3GCR-Kp","ssp370","Polar Zone","2090s",54.5105429692887,48.2922687061605,63.9410890852581,10,1000,"SSP3-7.0"
"3GCR-Kp","ssp585","Tropical Zone","2090s",55.2452021433819,49.9966978917301,58.0122455592099,10,1000,"SSP5-8.5"
"3GCR-Kp","ssp585","Temperate Zone","2090s",48.9998061567338,35.1675724634267,63.914121333534,10,1000,"SSP5-8.5"
"3GCR-Kp","ssp585","Polar Zone","2090s",61.8294151257526,54.258461682677,74.0164031019938,10,1000,"SSP5-8.5"
"CR-Ab","ssp126","Tropical Zone","2030s",22.9678275395452,14.1766693677884,40.6597106926166,10,1000,"SSP1-2.6"
"CR-Ab","ssp126","Temperate Zone","2030s",1.98123293852418,-13.128164092946,16.1859522461725,10,1000,"SSP1-2.6"
"CR-Ab","ssp126","Polar Zone","2030s",57.0791533252083,34.6338147509104,79.0814270231551,10,1000,"SSP1-2.6"
"CR-Ab","ssp245","Tropical Zone","2030s",25.4012878967305,16.1593323876047,43.6594082131474,10,1000,"SSP2-4.5"
"CR-Ab","ssp245","Temperate Zone","2030s",4.67919698879298,-11.1049308351174,20.8351836413637,10,1000,"SSP2-4.5"
"CR-Ab","ssp245","Polar Zone","2030s",60.9883329538542,36.5424957300692,81.6389575592058,10,1000,"SSP2-4.5"
"CR-Ab","ssp370","Tropical Zone","2030s",31.557486020677,17.7950872151106,49.617289445062,10,1000,"SSP3-7.0"
"CR-Ab","ssp370","Temperate Zone","2030s",7.71104607646219,-7.40605209635355,22.7855211235619,10,1000,"SSP3-7.0"
"CR-Ab","ssp370","Polar Zone","2030s",61.3299469986143,38.258701884009,82.6411848983503,10,1000,"SSP3-7.0"
"CR-Ab","ssp585","Tropical Zone","2030s",26.8376247273232,18.1151596998052,44.0743377847087,10,1000,"SSP5-8.5"
"CR-Ab","ssp585","Temperate Zone","2030s",6.89358331211885,-10.9681752846473,26.7592638103269,10,1000,"SSP5-8.5"
"CR-Ab","ssp585","Polar Zone","2030s",62.1304846676529,37.9721345963832,84.7841592498148,10,1000,"SSP5-8.5"
"CR-Ab","ssp126","Tropical Zone","2050s",23.9471965941149,16.6503960439786,38.7314322212077,10,1000,"SSP1-2.6"
"CR-Ab","ssp126","Temperate Zone","2050s",3.8830039730063,-11.5032636564018,17.2641898315591,10,1000,"SSP1-2.6"
"CR-Ab","ssp126","Polar Zone","2050s",53.9953553734454,24.0519230142917,82.5382778720654,10,1000,"SSP1-2.6"
"CR-Ab","ssp245","Tropical Zone","2050s",26.3112696620103,19.0312748763767,42.5440831195553,10,1000,"SSP2-4.5"
"CR-Ab","ssp245","Temperate Zone","2050s",7.35414850929793,-8.78274929148199,22.8830124692893,10,1000,"SSP2-4.5"
"CR-Ab","ssp245","Polar Zone","2050s",57.2777996428846,27.7707418692162,87.3062837771312,10,1000,"SSP2-4.5"
"CR-Ab","ssp370","Tropical Zone","2050s",29.9971549923681,23.0419019213119,39.8088422735794,10,1000,"SSP3-7.0"
"CR-Ab","ssp370","Temperate Zone","2050s",6.87320395228735,-6.94153384465937,19.2097359085138,10,1000,"SSP3-7.0"
"CR-Ab","ssp370","Polar Zone","2050s",54.9555614969674,22.5320403923976,86.3150694142136,10,1000,"SSP3-7.0"
"CR-Ab","ssp585","Tropical Zone","2050s",28.2369271266858,22.4261673264039,39.2650402471775,10,1000,"SSP5-8.5"
"CR-Ab","ssp585","Temperate Zone","2050s",8.11772786945769,-6.0289844702705,21.7885789928704,10,1000,"SSP5-8.5"
"CR-Ab","ssp585","Polar Zone","2050s",51.7649724142636,21.8884599103904,84.9836510176178,10,1000,"SSP5-8.5"
"CR-Ab","ssp126","Tropical Zone","2090s",22.3870749459458,14.8635023377123,37.8090705927763,10,1000,"SSP1-2.6"
"CR-Ab","ssp126","Temperate Zone","2090s",3.24769119773826,-11.3794547246658,16.8553205326508,10,1000,"SSP1-2.6"
"CR-Ab","ssp126","Polar Zone","2090s",55.5780063367041,22.6027650232656,83.9337885688555,10,1000,"SSP1-2.6"
"CR-Ab","ssp245","Tropical Zone","2090s",26.1517916715328,21.9008441717419,32.1166330056711,10,1000,"SSP2-4.5"
"CR-Ab","ssp245","Temperate Zone","2090s",6.20691446080316,-7.73618929219039,19.3116620247187,10,1000,"SSP2-4.5"
"CR-Ab","ssp245","Polar Zone","2090s",50.7572942190799,13.2921190770052,85.1822001368651,10,1000,"SSP2-4.5"
"CR-Ab","ssp370","Tropical Zone","2090s",27.272904015942,24.3631889530813,30.1511926396243,10,1000,"SSP3-7.0"
"CR-Ab","ssp370","Temperate Zone","2090s",6.22519173765834,-6.39345097363803,21.1129419418207,10,1000,"SSP3-7.0"
"CR-Ab","ssp370","Polar Zone","2090s",36.1650223786279,7.28390027305533,65.4897707428862,10,1000,"SSP3-7.0"
"CR-Ab","ssp585","Tropical Zone","2090s",31.5133216641299,28.3139081708806,34.3846648397633,10,1000,"SSP5-8.5"
"CR-Ab","ssp585","Temperate Zone","2090s",9.52602070092812,-3.95316388691027,25.7782583898965,10,1000,"SSP5-8.5"
