"Bacteria","scenario","period","relative_change_pct","lower_95ci_pct","upper_95ci_pct","n_years","n_draws","Scenario_Label","Scenario_Full_Label"
"CR-Ab","ssp585","2050s",11.4996723031459,-0.718898420301121,23.8664617685185,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Ab","ssp585","2090s",13.2024086932768,1.98508655598316,26.9729381159474,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Ec","ssp126","2030s",-3.98082082297567,-7.45544544334193,-0.870738986494019,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Ec","ssp126","2050s",-2.52571936261493,-5.92421138540783,0.733965934088185,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Ec","ssp126","2090s",-3.73107597565448,-7.11126577436507,-0.315982510235068,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Ec","ssp245","2030s",-3.46271785447704,-6.92661078237108,-0.0232028200903306,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Ec","ssp245","2050s",0.170391108440848,-3.52436810308783,4.07958874041285,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Ec","ssp245","2090s",2.76801048879605,-1.5194792415685,6.70037720936938,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Ec","ssp370","2030s",-3.09650096765637,-6.95018786447497,0.809282602715239,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Ec","ssp370","2050s",1.440092411436,-2.43543590439001,5.64210974640005,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Ec","ssp370","2090s",5.77256080621732,1.36197925417678,10.0410396445526,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Ec","ssp585","2030s",-2.37093471178106,-6.52271767644389,1.96360198463639,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Ec","ssp585","2050s",3.14109788305904,-1.73293995643084,7.55041949957815,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Ec","ssp585","2090s",9.51830376532288,4.60836814923695,14.5225257801166,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Kp","ssp126","2030s",6.26778395515997,-2.17958085605729,14.6881651417189,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Kp","ssp126","2050s",26.2523258824973,13.9568165615217,39.0534396860771,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Kp","ssp126","2090s",43.0148885974827,28.477836548297,57.7618387557604,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Kp","ssp245","2030s",8.00599221235126,-1.25419375405868,15.9296617578088,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Kp","ssp245","2050s",30.46005990998,16.6506396488006,43.0214643185903,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Kp","ssp245","2090s",49.5065366640952,33.6462375909962,66.2422353640843,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Kp","ssp370","2030s",9.67805799978498,0.112587951166093,18.4992924585892,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Kp","ssp370","2050s",34.1525705908614,21.1234097490131,47.063475908535,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Kp","ssp370","2090s",51.7072069738699,35.7168579497769,68.5193409611259,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Kp","ssp585","2030s",10.1418120092292,0.564091760911464,19.1075351542307,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
